Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLineCode,CountLine,CountSemicolon,CountDeclFunction
File,"CalendarResultHandler.java","@l./android/src/com/google/zxing/client/android/result/CalendarResultHandler.java",,"0.37",,7,0,8,,,116,181,52,8
File,"CameraConfigurationManager.java","@l./android/src/com/google/zxing/client/android/camera/CameraConfigurationManager.java",,"0.16",,12,7,12,,,174,242,101,12
File,"CameraConfigurationUtils.java","@l./android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java",,"0.09",,1,0,21,,,364,433,182,21
File,"CameraFacing.java","@l./android/src/com/google/zxing/client/android/camera/open/CameraFacing.java",,"4.00",,2,2,2,,,5,27,1,0
File,"CameraManager.java","@l./android/src/com/google/zxing/client/android/camera/CameraManager.java",,"0.50",,13,12,14,,,202,327,115,14
File,"CaptureActivity.java","@l./android/src/com/google/zxing/client/android/CaptureActivity.java",,"0.11",,27,19,29,,,606,768,340,29
File,"CaptureActivityHandler.java","@l./android/src/com/google/zxing/client/android/CaptureActivityHandler.java",,"0.22",,6,7,6,,,123,169,74,4
File,"CharacterSetECI.java","@l./core/src/main/java/com/google/zxing/common/CharacterSetECI.java",,"0.59",,7,24,10,,,73,133,24,8
File,"ChartDoSFilter.java","@l./zxingorg/src/main/java/com/google/zxing/web/ChartDoSFilter.java",,"1.73",,0,0,0,,,11,33,3,0
File,"ChartServlet.java","@l./zxingorg/src/main/java/com/google/zxing/web/ChartServlet.java",,"0.19",,2,0,4,,,143,195,91,4
File,"ChartServletRequestParameters.java","@l./zxingorg/src/main/java/com/google/zxing/web/ChartServletRequestParameters.java",,"0.48",,7,6,7,,,42,75,21,7
File,"ChartServletRequestParametersTestCase.java","@l./zxingorg/src/test/java/com/google/zxing/web/ChartServletRequestParametersTestCase.java",,"1.00",,1,0,1,,,18,42,12,1
File,"ChartServletTestCase.java","@l./zxingorg/src/test/java/com/google/zxing/web/ChartServletTestCase.java",,"0.62",,1,0,1,,,29,58,22,1
File,"ChecksumException.java","@l./core/src/main/java/com/google/zxing/ChecksumException.java",,"1.28",,2,0,4,,,18,47,6,4
File,"ClipboardInterface.java","@l./android/src/com/google/zxing/client/android/clipboard/ClipboardInterface.java",,"0.59",,1,0,5,,,32,61,15,5
File,"CodaBarReader.java","@l./core/src/main/java/com/google/zxing/oned/CodaBarReader.java",,"0.33",,7,3,8,,,233,343,154,8
File,"CodaBarWriter.java","@l./core/src/main/java/com/google/zxing/oned/CodaBarWriter.java",,"0.32",,2,0,2,,,99,140,57,2
File,"CodaBarWriterTestCase.java","@l./core/src/test/java/com/google/zxing/oned/CodaBarWriterTestCase.java",,"0.56",,3,0,5,,,34,62,12,5
File,"CodabarBlackBox1TestCase.java","@l./core/src/test/java/com/google/zxing/oned/CodabarBlackBox1TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code128BlackBox1TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code128BlackBox1TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code128BlackBox2TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code128BlackBox2TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code128BlackBox3TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code128BlackBox3TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code128Reader.java","@l./core/src/main/java/com/google/zxing/oned/Code128Reader.java",,"0.17",,1,0,3,,,465,562,199,3
File,"Code128Writer.java","@l./core/src/main/java/com/google/zxing/oned/Code128Writer.java",,"0.18",,12,15,19,,,460,567,222,13
File,"Code128WriterTestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code128WriterTestCase.java",,"0.21",,22,2,22,,,238,359,155,22
File,"Code39BlackBox1TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code39BlackBox1TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code39BlackBox3TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code39BlackBox3TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code39ExtendedBlackBox2TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code39ExtendedBlackBox2TestCase.java",,"1.80",,1,0,1,,,10,33,6,1
File,"Code39ExtendedModeTestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code39ExtendedModeTestCase.java",,"0.56",,1,0,2,,,32,57,19,2
File,"Code39Reader.java","@l./core/src/main/java/com/google/zxing/oned/Code39Reader.java",,"0.29",,4,4,8,,,247,340,142,8
File,"Code39Writer.java","@l./core/src/main/java/com/google/zxing/oned/Code39Writer.java",,"0.19",,2,0,4,,,108,141,67,4
File,"Code39WriterTestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code39WriterTestCase.java",,"0.29",,1,0,2,,,65,94,13,2
File,"Code93BlackBox1TestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code93BlackBox1TestCase.java",,"1.64",,1,0,1,,,11,34,7,1
File,"Code93Reader.java","@l./core/src/main/java/com/google/zxing/oned/Code93Reader.java",,"0.22",,3,2,8,,,228,299,131,8
File,"Code93ReaderTestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code93ReaderTestCase.java",,"0.69",,1,0,2,,,26,51,16,2
File,"Code93Writer.java","@l./core/src/main/java/com/google/zxing/oned/Code93Writer.java",,"0.47",,2,0,6,,,107,178,66,6
File,"Code93WriterTestCase.java","@l./core/src/test/java/com/google/zxing/oned/Code93WriterTestCase.java",,"0.74",,2,0,3,,,42,69,13,3
File,"Codeword.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/Codeword.java",,"0.37",,12,5,12,,,49,84,22,12
File,"CommandLineEncoder.java","@l./javase/src/main/java/com/google/zxing/client/j2se/CommandLineEncoder.java",,"0.56",,1,0,2,,,36,65,21,2
File,"CommandLineEncoderTestCase.java","@l./javase/src/test/java/com/google/zxing/client/j2se/CommandLineEncoderTestCase.java",,"0.62",,1,0,1,,,29,54,18,1
File,"CommandLineRunner.java","@l./javase/src/main/java/com/google/zxing/client/j2se/CommandLineRunner.java",,"0.20",,1,0,6,,,127,167,66,6
File,"CommandLineRunnerTestCase.java","@l./javase/src/test/java/com/google/zxing/client/j2se/CommandLineRunnerTestCase.java",,"1.73",,1,0,1,,,11,35,5,1
File,"Compaction.java","@l./core/src/main/java/com/google/zxing/pdf417/encoder/Compaction.java",,"2.57",,2,4,2,,,7,29,1,0
File,"ContactEncoder.java","@l./android/src/com/google/zxing/client/android/encode/ContactEncoder.java",,"0.45",,1,0,5,,,65,104,25,5
File,"ContactInfoGenerator.java","@l./zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/ContactInfoGenerator.java",,"0.10",,15,11,20,,,244,295,129,20
File,"Contents.java","@l./android/src/com/google/zxing/client/android/Contents.java",,"1.66",,2,0,2,,,38,118,14,2
File,"CurrentParsingState.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/CurrentParsingState.java",,"0.66",,12,5,12,,,41,83,14,10
File,"DBHelper.java","@l./android/src/com/google/zxing/client/android/history/DBHelper.java",,"0.53",,3,0,3,,,34,60,17,3
File,"DataBlock.java","@l./core/src/main/java/com/google/zxing/datamatrix/decoder/DataBlock.java",,"0.73",,3,2,4,,,59,118,42,4
File,"DataBlock.java","@l./core/src/main/java/com/google/zxing/qrcode/decoder/DataBlock.java",,"0.66",,3,2,4,,,65,122,43,4
File,"DataCharacter.java","@l./core/src/main/java/com/google/zxing/oned/rss/DataCharacter.java",,"0.58",,6,2,6,,,31,59,12,6
