Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLine,CountLineCode,CountSemicolon,CountDeclFunction
Function,"(unnamed_function_1).handleArbitraryUrl","@l(unnamed_function_1).handleArbitraryUrl@kw15(unnamed_function_1).handlearbitraryurl:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,4,3,,
Function,"(unnamed_function_1).handleBackButton","@l(unnamed_function_1).handleBackButton@kw15(unnamed_function_1).handlebackbutton:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",3,,,,,,,,10,9,,
Function,"(unnamed_function_1).handleBackButton","@l(unnamed_function_1).handleBackButton@kw15(unnamed_function_1).handlebackbutton:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",3,,,,,,,,10,9,,
Function,"(unnamed_function_1).handleForwardButton","@l(unnamed_function_1).handleForwardButton@kw15(unnamed_function_1).handleforwardbutton:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",2,,,,,,,,7,5,,
Function,"(unnamed_function_1).handleForwardButton","@l(unnamed_function_1).handleForwardButton@kw15(unnamed_function_1).handleforwardbutton:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",2,,,,,,,,7,5,,
Public Method,"(unnamed_function_1).initialize","@l(unnamed_function_1).initialize@kw14(unnamed_function_1).initialize:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,3,3,,
Public Method,"(unnamed_function_1).initialize","@l(unnamed_function_1).initialize@kw14(unnamed_function_1).initialize:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,3,3,,
Public Method,"(unnamed_function_1).setBrowserURL","@l(unnamed_function_1).setBrowserURL@kw14(unnamed_function_1).setbrowserurl:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",4,,,,,,,,21,14,,
Public Method,"(unnamed_function_1).setBrowserURL","@l(unnamed_function_1).setBrowserURL@kw14(unnamed_function_1).setbrowserurl:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",4,,,,,,,,21,14,,
Public Method,"(unnamed_function_1).setDefaultURL","@l(unnamed_function_1).setDefaultURL@kw14(unnamed_function_1).setdefaulturl:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",7,,,,,,,,50,41,,
Public Method,"(unnamed_function_1).setDefaultURL","@l(unnamed_function_1).setDefaultURL@kw14(unnamed_function_1).setdefaulturl:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",7,,,,,,,,50,41,,
Unnamed Function,"(unnamed_function_1).setDefaultURL.(unnamed_function_3)","@l(unnamed_function_1).setDefaultURL.(unnamed_function_3)@p@l(unnamed_function_1).setDefaultURL@kw14(unnamed_function_1).setdefaulturl:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,1,1,,
Unnamed Function,"(unnamed_function_1).setDefaultURL.(unnamed_function_3)","@l(unnamed_function_1).setDefaultURL.(unnamed_function_3)@p@l(unnamed_function_1).setDefaultURL@kw14(unnamed_function_1).setdefaulturl:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,1,1,,
Function,"(unnamed_function_1).setDefaultURL.func","@l(unnamed_function_1).setDefaultURL.func@kw15(unnamed_function_1).setdefaulturl.func:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,5,5,,
